Poplar ID,Curve Type,Rate,Time,A,gsw,Ci,PARi
1A,Light,0,0,28.42454145,0.49592899,259.720095,999.896
1A,Light,0,60.5,27.6005754,0.493721636,263.1694068,899.991
1A,Light,0,121,26.32799576,0.486191302,267.4228127,800.242
1A,Light,0,181.5,24.95163825,0.487584118,273.999567,699.833
1A,Light,0,241.9000001,23.19984124,0.495794127,283.4885282,600.175
1A,Light,0,302.5,20.71890156,0.496110268,294.629932,500.028
1A,Light,0,363,17.66394151,0.490122968,307.7994786,400.24
1A,Light,0,423.5,13.62021605,0.503281815,327.3599102,300.022
1A,Light,0,483.9000001,8.92214069,0.505568163,348.4148663,200.23
1A,Light,0,544.5,6.576889255,0.505174378,359.0467593,150.148
1A,Light,0,605,3.847227959,0.507437703,371.2950563,100.041
1A,Light,0,665.5,1.035865354,0.508868187,383.7522334,49.9862
1A,Light,0,725.9000001,-1.755659776,0.5075224,396.1933732,0
1A,Light,50,3789.5,29.86977293,0.654019521,275.7094469,1000.14
1A,Light,50,3791.5,29.84527324,0.653386917,275.7640393,999.48
1A,Light,50,3793.5,29.89157084,0.654623085,275.7525586,998.037
1A,Light,50,3795.5,29.85978388,0.655052031,275.8678106,996.335
1A,Light,50,3797.5,29.78713373,0.653663816,275.9540382,995.299
1A,Light,50,3799.5,29.82732201,0.652623803,275.7357032,993.28
1A,Light,50,3801.5,29.8932511,0.653426777,275.6068358,990.919
1A,Light,50,3803.5,29.88618579,0.654400026,275.7781708,989.869
1A,Light,50,3805.5,29.89070859,0.654108473,275.7596281,988.124
1A,Light,50,3807.5,29.84715653,0.653460591,275.7874845,986.435
1A,Light,50,3809.5,29.83511622,0.653136468,275.7509143,985.382
1A,Light,50,3811.5,29.78785423,0.653235318,275.9147207,983.036
1A,Light,50,3813.5,29.80669761,0.653654433,275.9249094,980.986
1A,Light,50,3815.5,29.84988468,0.653696976,275.790274,979.936
1A,Light,50,3817.5,29.81297806,0.653193883,275.8401143,978.202
1A,Light,50,3819.5,29.7918178,0.65231198,275.8407544,976.505
1A,Light,50,3821.5,29.78748156,0.653657377,276.0269001,975.174
1A,Light,50,3823.5,29.78517864,0.654537117,276.140751,973.13
1A,Light,50,3825.5,29.71571991,0.653715717,276.2611073,971.078
1A,Light,50,3827.5,29.67507083,0.653039008,276.2951892,969.707
1A,Light,50,3829.5,29.66945093,0.65267319,276.3075081,967.987
1A,Light,50,3831.5,29.77961657,0.653620623,276.1356379,966.587
1A,Light,50,3833.5,29.76718826,0.654616082,276.2811891,965.244
1A,Light,50,3835.5,29.6644117,0.653669841,276.482023,963.216
1A,Light,50,3837.5,29.70363729,0.652738334,276.2701904,961.126
1A,Light,50,3839.5,29.73119869,0.652818691,276.1924217,959.781
1A,Light,50,3841.5,29.64496837,0.654119994,276.5627077,958.078
1A,Light,50,3843.5,29.54785905,0.654520211,276.8982135,956.69
1A,Light,50,3845.5,29.54201041,0.653943449,276.8928308,955.349
1A,Light,50,3847.5,29.56430359,0.653650681,276.8069352,953.28
1A,Light,50,3849.5,29.61420137,0.653271287,276.646982,950.903
1A,Light,50,3851.5,29.59448721,0.653802319,276.7772191,949.856
1A,Light,50,3853.5,29.53104241,0.65441908,277.0464502,948.142
1A,Light,50,3855.5,29.53802227,0.654424555,277.0662542,946.752
1A,Light,50,3857.5,29.48716435,0.654018295,277.243831,945.36
1A,Light,50,3859.5,29.44362193,0.653221772,277.2641,942.988
1A,Light,50,3861.5,29.4355801,0.653223436,277.2819696,940.924
1A,Light,50,3863.5,29.39465615,0.655545866,277.6540765,939.894
1A,Light,50,3865.5,29.41557593,0.657030606,277.7241388,937.812
1A,Light,50,3867.5,29.44863672,0.656757365,277.6505608,936.465
1A,Light,50,3869.5,29.35942381,0.658013028,278.1009456,935.431
1A,Light,50,3871.5,29.36818979,0.658934162,278.1857758,933.04
1A,Light,50,3873.5,29.3813605,0.657206484,277.945973,930.997
1A,Light,50,3875.5,29.35697995,0.656068087,277.8712521,929.658
1A,Light,50,3877.5,29.3290476,0.656475092,277.9998207,927.865
1A,Light,50,3879.5,29.27254009,0.655045779,278.0956065,926.829
1A,Light,50,3881.5,29.31370422,0.654169683,277.8507376,925.479
1A,Light,50,3883.5,29.27244154,0.654090703,277.9113835,923.109
1A,Light,50,3885.5,29.17982385,0.654508203,278.2635146,921.056
1A,Light,50,3887.5,29.26277251,0.654782289,278.0555875,919.714
1A,Light,50,3889.5,29.23155972,0.654402568,278.1354015,917.971
1A,Light,50,3891.5,29.22216144,0.655314896,278.2821942,916.269
1A,Light,50,3893.5,29.23298842,0.65526047,278.2330321,915.222
1A,Light,50,3895.5,29.16563746,0.65479949,278.4121122,913.2
1A,Light,50,3897.5,29.2256764,0.654271261,278.1818895,910.863
1A,Light,50,3899.5,29.15099736,0.654749781,278.4675449,909.775
1A,Light,50,3901.5,29.06072266,0.655834593,278.8775573,908.056
1A,Light,50,3903.5,29.14672574,0.65535006,278.5899865,906.987
1A,Light,50,3905.5,29.09400282,0.655281945,278.7575706,905.294
1A,Light,50,3907.5,28.99492601,0.656110967,279.1314755,903.247
1A,Light,50,3909.5,29.05059946,0.655201805,278.8696028,901.187
1A,Light,50,3911.5,29.04040067,0.653949254,278.7942526,899.803
1A,Light,50,3913.5,29.04836255,0.654535685,278.8543451,898.098
1A,Light,50,3915.5,29.05374982,0.654900951,278.8794131,896.746
1A,Light,50,3917.5,29.0087013,0.655359986,279.0926839,895.38
1A,Light,50,3919.5,28.96281361,0.655865178,279.2993133,893.324
1A,Light,50,3921.5,28.87090367,0.655946027,279.5881402,890.949
1A,Light,50,3923.5,28.81793717,0.655943393,279.807615,889.89
1A,Light,50,3925.5,28.8131998,0.656281154,279.8731353,887.865
1A,Light,50,3927.5,28.81505832,0.656079464,279.8125073,886.495
1A,Light,50,3929.5,28.88628254,0.655532518,279.548545,885.455
1A,Light,50,3931.5,28.83019058,0.655757669,279.754216,883.352
1A,Light,50,3933.5,28.73054297,0.655740299,280.0715766,881.04
1A,Light,50,3935.5,28.76405585,0.655959299,280.0349559,879.963
1A,Light,50,3937.5,28.74202505,0.656130853,280.1356004,878.247
1A,Light,50,3939.5,28.71079255,0.65577751,280.2229987,876.912
1A,Light,50,3941.5,28.74549793,0.655773257,280.1136741,875.178
1A,Light,50,3943.5,28.73121745,0.654916719,280.0761058,873.161
1A,Light,50,3945.5,28.74113614,0.654718833,280.0300153,871.122
1A,Light,50,3947.5,28.70599379,0.6547652,280.1465322,869.773
1A,Light,50,3949.5,28.59017546,0.655088003,280.5630588,868.062
1A,Light,50,3951.5,28.60395614,0.655206939,280.5913636,866.672
1A,Light,50,3953.5,28.66749588,0.654872287,280.3599968,865.281
1A,Light,50,3955.5,28.59940223,0.655592295,280.5921161,863.229
1A,Light,50,3957.5,28.54976846,0.65508271,280.6897577,861.169
1A,Light,50,3959.5,28.56812919,0.656000109,280.76487,860.443
1A,Light,50,3961.5,28.51393191,0.657505641,281.1212487,858.065
1A,Light,50,3963.5,28.46029372,0.657037512,281.2313486,856.365
1A,Light,50,3965.5,28.51901915,0.65669566,281.0011138,855.328
1A,Light,50,3967.5,28.48781751,0.656066547,281.0784138,853.319
1A,Light,50,3969.5,28.4247462,0.655995526,281.2886004,850.965
1A,Light,50,3971.5,28.42076984,0.655326263,281.1953976,849.915
1A,Light,50,3973.5,28.43214861,0.654862418,281.1444833,847.86
1A,Light,50,3975.5,28.35675297,0.656109357,281.5651654,846.839
1A,Light,50,3977.5,28.41475936,0.656756493,281.4611873,845.135
1A,Light,50,3979.5,28.34703017,0.655639944,281.5687419,843.371
1A,Light,50,3981.5,28.23131562,0.65644824,282.0296654,840.988
1A,Light,50,3983.5,28.31393467,0.657636005,281.9096973,839.94
1A,Light,50,3985.5,28.37677431,0.656398823,281.6179517,838.188
1A,Light,50,3987.5,28.28008765,0.656057367,281.9065939,836.505
1A,Light,50,3989.5,28.19871771,0.656691166,282.2286902,835.121
1A,Light,50,3991.5,28.27862523,0.656694955,282.0089803,833.104
1A,Light,50,3993.5,28.24283275,0.656958228,282.1370394,831.049
1A,Light,50,3995.5,28.12034333,0.658125689,282.6184752,829.712
1A,Light,50,3997.5,28.1633257,0.657661127,282.4538141,827.987
1A,Light,50,3999.5,28.25275824,0.65762923,282.2466043,826.623
1A,Light,50,4001.5,28.13519525,0.657748102,282.6420144,825.229
1A,Light,50,4003.5,28.00843685,0.657096887,282.9366998,823.194
1A,Light,50,4005.5,28.0205862,0.657719609,282.9811138,821.123
1A,Light,50,4007.5,28.03032061,0.658354167,283.0432889,820.439
1A,Light,50,4009.5,28.02003419,0.658633561,283.1335211,818.05
1A,Light,50,4011.5,28.03045881,0.659518712,283.2319014,816.702
1A,Light,50,4013.5,27.96256612,0.658674999,283.4140238,815.306
1A,Light,50,4015.5,27.87618864,0.65919691,283.7457076,813.286
1A,Light,50,4017.5,27.89716281,0.659471812,283.6921626,810.933
1A,Light,50,4019.5,27.86337304,0.65860347,283.6918956,809.897
1A,Light,50,4021.5,27.86245847,0.659294148,283.7963211,807.847
1A,Light,50,4023.5,27.84596212,0.659020319,283.8540121,806.454
1A,Light,50,4025.5,27.8694898,0.659913829,283.91979,805.423
1A,Light,50,4027.5,27.83182978,0.662493387,284.270541,803.384
1A,Light,50,4029.5,27.76997202,0.661380527,284.3706207,800.687
1A,Light,50,4031.5,27.75106679,0.661366871,284.4551768,799.69
1A,Light,50,4033.5,27.73212971,0.661963274,284.563776,797.92
1A,Light,50,4035.5,27.65798898,0.660411056,284.6864428,796.566
1A,Light,50,4037.5,27.59659566,0.659338629,284.7919885,795.187
1A,Light,50,4039.5,27.6375523,0.659043783,284.6030432,793.146
1A,Light,50,4041.5,27.68267575,0.659519387,284.5416824,790.811
1A,Light,50,4043.5,27.65488008,0.659755187,284.6956234,789.772
1A,Light,50,4045.5,27.61891535,0.6595531,284.7687397,788.053
1A,Light,50,4047.5,27.56903318,0.661134486,285.0643098,787.017
1A,Light,50,4049.5,27.42606211,0.662675961,285.6737901,785.332
1A,Light,50,4051.5,27.42655877,0.662221612,285.6432343,783.253
1A,Light,50,4053.5,27.53494699,0.66240636,285.355629,781.215
1A,Light,50,4055.5,27.49767662,0.663039886,285.5375153,779.822
1A,Light,50,4057.5,27.43997295,0.662512933,285.7135557,778.122
1A,Light,50,4059.5,27.47046036,0.662643395,285.6591022,776.424
1A,Light,50,4061.5,27.45953746,0.662165485,285.6557911,775.351
1A,Light,50,4063.5,27.43600108,0.660602578,285.5531187,773.309
1A,Light,50,4065.5,27.42917625,0.658975099,285.4131434,770.963
1A,Light,50,4067.5,27.34509389,0.659000116,285.6701367,769.916
1A,Light,50,4069.5,27.25884681,0.659798398,286.0084634,767.879
1A,Light,50,4071.5,27.2902044,0.660252919,285.9706556,766.842
1A,Light,50,4073.5,27.31087215,0.660323079,285.9548246,765.453
1A,Light,50,4075.5,27.21246436,0.659605075,286.1661961,763.113
1A,Light,50,4077.5,27.19424262,0.660692709,286.3464723,761.073
1A,Light,50,4079.5,27.19720145,0.661398773,286.4649504,759.73
1A,Light,50,4081.5,27.14133236,0.661470716,286.6542627,758.28
1A,Light,50,4083.5,27.17226101,0.661821673,286.6148706,756.586
1A,Light,50,4085.5,27.18419101,0.661672261,286.5809366,755.232
1A,Light,50,4087.5,27.1066952,0.662105129,286.8612698,753.186
1A,Light,50,4089.5,27.09899249,0.661293632,286.8452859,751.139
1A,Light,50,4091.5,27.10729474,0.660873944,286.8476866,749.758
1A,Light,50,4093.5,26.97111867,0.660773699,287.2193079,748.053
1A,Light,50,4095.5,26.94189206,0.659957775,287.1482604,746.676
1A,Light,50,4097.5,27.05178191,0.659302344,286.7963283,745.294
1A,Light,50,4099.5,26.9895454,0.659316225,287.0328047,743.25
1A,Light,50,4101.5,26.89348824,0.660147077,287.3995439,740.908
1A,Light,50,4103.5,26.87728385,0.660559075,287.5100356,739.891
1A,Light,50,4105.5,26.8537587,0.660423336,287.5754551,738.149
1A,Light,50,4107.5,26.82601921,0.660627884,287.6893794,736.464
1A,Light,50,4109.5,26.88504475,0.661201856,287.6330503,735.421
1A,Light,50,4111.5,26.80334572,0.663136764,288.0861254,733.038
1A,Light,50,4113.5,26.70457795,0.663872801,288.44134,730.977
1A,Light,50,4115.5,26.68169053,0.663028391,288.4357997,729.635
1A,Light,50,4117.5,26.67372044,0.663052477,288.4881106,727.926
1A,Light,50,4119.5,26.63934871,0.662899918,288.5743252,726.513
1A,Light,50,4121.5,26.6641819,0.66224898,288.4634139,725.156
1A,Light,50,4123.5,26.7034388,0.661506154,288.3166685,723.13
1A,Light,50,4125.5,26.63134286,0.661039697,288.5032165,721.082
1A,Light,50,4127.5,26.49637194,0.661330035,288.9459708,719.745
1A,Light,50,4129.5,26.48535637,0.661493363,289.0195972,717.987
1A,Light,50,4131.5,26.52236089,0.661924918,288.954541,716.649
1A,Light,50,4133.5,26.44976322,0.661639161,289.1346572,715.272
1A,Light,50,4135.5,26.43053509,0.660905219,289.1313114,713.229
1A,Light,50,4137.5,26.39447169,0.661786945,289.3511288,710.885
1A,Light,50,4139.5,26.34751826,0.662698425,289.6426579,709.814
1A,Light,50,4141.5,26.33841769,0.661746301,289.6104403,708.064
1A,Light,50,4143.5,26.31469396,0.660958093,289.6173985,706.692
1A,Light,50,4145.5,26.29157853,0.660480683,289.6788691,705.346
1A,Light,50,4147.5,26.28063634,0.660583337,289.6735242,703.323
1A,Light,50,4149.5,26.24443649,0.660696148,289.8030954,700.925
1A,Light,50,4151.5,26.1670983,0.661230187,290.1726982,699.901
1A,Light,50,4153.5,26.16077683,0.662096154,290.319395,698.143
1A,Light,50,4155.5,26.12938345,0.660485064,290.2510963,696.447
1A,Light,50,4157.5,26.18980929,0.659798352,290.0472784,695.416
1A,Light,50,4159.5,26.15562269,0.661305352,290.3572698,693.38
1A,Light,50,4161.5,26.02492404,0.659349546,290.5881495,690.964
1A,Light,50,4163.5,26.04401815,0.657014149,290.3111321,689.644
1A,Light,50,4165.5,26.00058896,0.659019156,290.6453826,687.953
1A,Light,50,4167.5,25.94099042,0.660604583,290.9843656,686.527
1A,Light,50,4169.5,25.95377326,0.660372346,290.9286597,685.196
1A,Light,50,4171.5,25.87796951,0.660471268,291.2240995,683.163
1A,Light,50,4173.5,25.82288063,0.661160192,291.4889054,680.793
1A,Light,50,4175.5,25.76785692,0.662025709,291.7456778,679.781
1A,Light,50,4177.5,25.72971506,0.663214174,291.9999977,678.066
1A,Light,50,4179.5,25.78964997,0.662698418,291.8081949,676.684
1A,Light,50,4181.5,25.80412941,0.661476839,291.710014,675.297
1A,Light,50,4183.5,25.70092803,0.661791369,292.0646257,673.254
1A,Light,50,4185.5,25.66299766,0.661638156,292.1636779,670.916
1A,Light,50,4187.5,25.70771535,0.661509512,292.0263509,669.939
1A,Light,50,4189.5,25.62475023,0.662033275,292.3987576,667.819
1A,Light,50,4191.5,25.50074464,0.662408709,292.8547638,666.796
1A,Light,50,4193.5,25.45271575,0.661756775,292.9413453,665.364
1A,Light,50,4195.5,25.48251487,0.663295519,293.0078499,663.326
1A,Light,50,4197.5,25.43213709,0.666654059,293.484253,660.978
1A,Light,50,4199.5,25.44754075,0.667320508,293.535509,659.925
1A,Light,50,4201.5,25.47438916,0.663660139,293.1801771,658.191
1A,Light,50,4203.5,25.37069058,0.660729271,293.2156531,656.493
1A,Light,50,4205.5,25.32829033,0.658282784,293.0994035,655.163
1A,Light,50,4207.5,25.40414628,0.657670316,292.8573798,653.088
1A,Light,50,4209.5,25.25731916,0.660675132,293.6302757,651.066
1A,Light,50,4211.5,25.1053645,0.661787418,294.19889,649.686
1A,Light,50,4213.5,25.16415359,0.660850828,293.9540095,647.99
1A,Light,50,4215.5,25.20648704,0.661502064,293.9301877,646.617
1A,Light,50,4217.5,25.16276217,0.663274549,294.2967596,645.239
1A,Light,50,4219.5,25.11057982,0.662889386,294.4190309,643.211
1A,Light,50,4221.5,24.95524999,0.662040625,294.7880915,640.854
1A,Light,50,4223.5,25.0126113,0.661355178,294.6110713,639.796
1A,Light,50,4225.5,25.09904379,0.660825746,294.3951623,638.098
1A,Light,50,4227.5,24.92231492,0.661797068,294.9978713,636.72
1A,Light,50,4229.5,24.91143055,0.662309666,295.0800309,635.353
1A,Light,50,4231.5,24.94065737,0.662473928,295.0348313,633.331
1A,Light,50,4233.5,24.83286881,0.662632913,295.4188453,630.964
1A,Light,50,4235.5,24.78231532,0.663743546,295.6816123,629.912
1A,Light,50,4237.5,24.75552369,0.664548874,295.8257065,627.886
1A,Light,50,4239.5,24.75250031,0.663552433,295.7752601,626.848
1A,Light,50,4241.5,24.73598146,0.661769653,295.699594,625.163
1A,Light,50,4243.5,24.70057275,0.660897688,295.7847154,623.113
1A,Light,50,4245.5,24.6167018,0.661864611,296.1703938,620.74
1A,Light,50,4247.5,24.5244323,0.662024476,296.4710521,619.722
1A,Light,50,4249.5,24.53400851,0.662266214,296.4593898,617.94
1A,Light,50,4251.5,24.50469444,0.662892349,296.6384591,616.544
1A,Light,50,4253.5,24.51676512,0.662368331,296.5782897,615.199
1A,Light,50,4255.5,24.46722502,0.662293981,296.7199451,613.125
1A,Light,50,4257.5,24.49569086,0.662429202,296.6811993,611.126
1A,Light,50,4259.5,24.40947175,0.662484996,296.9484089,609.773
1A,Light,50,4261.5,24.29566061,0.662399721,297.3154572,608.041
1A,Light,50,4263.5,24.26978263,0.661919467,297.3764849,607.005
1A,Light,50,4265.5,24.24002903,0.662440854,297.5653918,605.319
1A,Light,50,4267.5,24.18118394,0.662598638,297.7935148,603.241
1A,Light,50,4269.5,24.14356206,0.66182192,297.8799763,600.905
1A,Light,50,4271.5,24.14290232,0.66248369,297.9784259,599.856
1A,Light,50,4273.5,24.14887933,0.66325895,298.0266095,598.114
1A,Light,50,4275.5,24.14657689,0.663450989,298.0970864,596.43
1A,Light,50,4277.5,23.98173801,0.66233493,298.5511436,595.083
1A,Light,50,4279.5,23.90005195,0.661086784,298.6865435,593.363
1A,Light,50,4281.5,23.86919808,0.661291829,298.8097911,591.006
1A,Light,50,4283.5,23.83803472,0.661937422,298.9644543,589.976
1A,Light,50,4285.5,23.81520555,0.662658587,299.1337236,587.944
1A,Light,50,4287.5,23.8187213,0.662705042,299.1928861,586.569
1A,Light,50,4289.5,23.79213403,0.661601424,299.1941322,585.214
1A,Light,50,4291.5,23.77864328,0.661450875,299.2460275,583.193
1A,Light,50,4293.5,23.69403108,0.661827915,299.5670284,581.148
1A,Light,50,4295.5,23.62729732,0.662014644,299.837265,579.763
1A,Light,50,4297.5,23.57218723,0.661481341,299.9589642,578.029
1A,Light,50,4299.5,23.53438406,0.661648398,300.0891944,576.649
1A,Light,50,4301.5,23.56677287,0.662212847,300.0787184,575.313
1A,Light,50,4303.5,23.45865828,0.662066837,300.4230428,573.238
1A,Light,50,4305.5,23.38731331,0.662342078,300.7262923,571.235
1A,Light,50,4307.5,23.42485271,0.663115028,300.7101337,569.849
1A,Light,50,4309.5,23.43088177,0.662911531,300.7003096,568.15
1A,Light,50,4311.5,23.37003778,0.66261396,300.8823085,566.819
1A,Light,50,4313.5,23.29170644,0.662874927,301.1321834,565.454
1A,Light,50,4315.5,23.18644842,0.662934854,301.4662011,563.068
1A,Light,50,4317.5,23.16601035,0.662594655,301.5253199,561.027
1A,Light,50,4319.5,23.20528689,0.661703701,301.3667198,559.668
1A,Light,50,4321.5,23.10951487,0.660737901,301.5905284,557.924
1A,Light,50,4323.5,23.07724534,0.662082742,301.8765562,556.53
1A,Light,50,4325.5,23.06382295,0.662352492,301.9903867,555.196
1A,Light,50,4327.5,22.94359858,0.662421912,302.3520924,553.164
1A,Light,50,4329.5,22.91544121,0.663071646,302.5105628,551.122
1A,Light,50,4331.5,22.89358187,0.662075425,302.5590044,549.768
1A,Light,50,4333.5,22.83841757,0.661995204,302.7346529,548.06
1A,Light,50,4335.5,22.83821883,0.661692553,302.7268144,546.993
1A,Light,50,4337.5,22.83218944,0.661034855,302.7284429,545.326
1A,Light,50,4339.5,22.73649062,0.660314181,302.9871065,543.262
1A,Light,50,4341.5,22.63176709,0.661620375,303.4603795,541.255
1A,Light,50,4343.5,22.58636693,0.663739382,303.8149971,539.897
1A,Light,50,4345.5,22.56064018,0.663507647,303.8767585,538.153
1A,Light,50,4347.5,22.50049135,0.662082075,304.0033849,536.44
1A,Light,50,4349.5,22.53696485,0.662073792,303.9467163,535.371
1A,Light,50,4351.5,22.51632887,0.66184173,304.0532974,533.307
1A,Light,50,4353.5,22.39975366,0.661973433,304.4494425,531.3
1A,Light,50,4355.5,22.25525422,0.663069201,304.9825083,529.947
1A,Light,50,4357.5,22.25592577,0.662465013,304.954029,527.903
1A,Light,50,4359.5,22.21586324,0.663410225,305.202003,526.539
1A,Light,50,4361.5,22.13935095,0.663726861,305.509888,525.167
1A,Light,50,4363.5,22.14371924,0.662949604,305.468349,523.139
1A,Light,50,4365.5,22.10069082,0.662939354,305.6277694,521.101
1A,Light,50,4367.5,22.08678045,0.662405916,305.644399,519.749
1A,Light,50,4369.5,22.04828098,0.662550583,305.8319241,518.043
1A,Light,50,4371.5,22.06023864,0.66350632,305.9199114,517.012
1A,Light,50,4373.5,21.95369477,0.662818816,306.2273736,515.283
1A,Light,50,4375.5,21.83460225,0.662132449,306.5561291,513.262
1A,Light,50,4377.5,21.78810563,0.662526079,306.7129201,510.889
1A,Light,50,4379.5,21.78225655,0.662009208,306.7307215,509.869
1A,Light,50,4381.5,21.7391056,0.661513348,306.8824826,508.138
1A,Light,50,4383.5,21.73487017,0.660986069,306.8907584,506.464
1A,Light,50,4385.5,21.67507431,0.661363121,307.1068113,505.426
1A,Light,50,4387.5,21.61186128,0.66119199,307.3356499,503.404
1A,Light,50,4389.5,21.49218129,0.661178343,307.7286276,501.056
1A,Light,50,4391.5,21.4947045,0.661651556,307.7696458,499.686
1A,Light,50,4393.5,21.4922375,0.66176984,307.8213803,497.97
1A,Light,50,4395.5,21.33786769,0.661883232,308.3378218,496.585
1A,Light,50,4397.5,21.31603928,0.66196843,308.4695994,495.202
1A,Light,50,4399.5,21.28574181,0.661497603,308.5346472,493.166
1A,Light,50,4401.5,21.24492959,0.661483002,308.7011279,491.074
1A,Light,50,4403.5,21.19589671,0.661262575,308.8840457,489.723
1A,Light,50,4405.5,21.1324054,0.661763435,309.1481698,488.018
1A,Light,50,4407.5,21.08481827,0.662169784,309.3708736,486.644
1A,Light,50,4409.5,21.04840337,0.662019941,309.5167757,485.285
1A,Light,50,4411.5,20.96393368,0.661836686,309.7988732,483.255
1A,Light,50,4413.5,20.91546877,0.661742898,309.9571063,480.913
1A,Light,50,4415.5,20.89448527,0.661429029,310.030342,479.879
1A,Light,50,4417.5,20.85765175,0.660940454,310.1366277,478.141
